County,Total Population,White Population,Black or African American Population,American Indian and Alaska Native Population,Asian Population,Male Population,Female Population,Hispanic or Latino Population,Median Household Income (Overall),Median Household Income (White Alone),Median Household Income (Black or African American Alone),Median Household Income (American Indian and Alaska Native Alone),Median Household Income (Asian Alone),Median Household Income (Native Hawaiian and Other Pacific Islander Alone),Median Household Income (Some Other Race Alone),Median Household Income (Two or More Races),Median Household Income (Hispanic or Latino),Speak Only English at Home (Population 5 years and over),Speak Spanish at Home (Population 5 years and over),Speak Other Indo-European Languages at Home (Population 5 years and over),Speak Asian and Pacific Island Languages at Home (Population 5 years and over),Speak Other Languages at Home (Population 5 years and over),Year
"Guilford County, North Carolina",464041.0,281888.0,143560.0,2403.0,15632.0,222410.0,241631.0,269406.0,46100.0,55895.0,32345.0,22691.0,45401.0,7027.0,33886.0,43191.0,34929.0,385665.0,23694.0,1924.0,214.0,375.0,2009
"Halifax County, North Carolina",55118.0,22704.0,28818.0,1741.0,316.0,26206.0,28912.0,22413.0,29681.0,40866.0,23444.0,18553.0,111875.0,,30927.0,19009.0,31452.0,50149.0,730.0,94.0,0.0,26.0,2009
"Harnett County, North Carolina",108885.0,75218.0,23325.0,687.0,1018.0,53328.0,55557.0,72112.0,42369.0,48135.0,27352.0,17143.0,31618.0,37168.0,34805.0,32500.0,36259.0,91700.0,7243.0,306.0,67.0,83.0,2009
"Haywood County, North Carolina",56535.0,54246.0,707.0,408.0,156.0,27055.0,29480.0,53680.0,39676.0,39981.0,36691.0,29908.0,,,38947.0,30625.0,27000.0,51925.0,1072.0,79.0,0.0,179.0,2009
"Henderson County, North Carolina",100333.0,89440.0,3211.0,339.0,793.0,48408.0,51925.0,86618.0,44899.0,45819.0,36061.0,30787.0,57043.0,,36875.0,37316.0,33419.0,85119.0,7140.0,319.0,68.0,100.0,2009
"Hertford County, North Carolina",23281.0,8432.0,13873.0,265.0,108.0,11334.0,11947.0,8071.0,30958.0,38644.0,23715.0,43393.0,84688.0,,96250.0,39915.0,50294.0,21025.0,554.0,64.0,10.0,0.0,2009
"Hoke County, North Carolina",42410.0,20301.0,14030.0,3624.0,454.0,21016.0,21394.0,18268.0,41595.0,51029.0,31168.0,30063.0,40476.0,,31458.0,42155.0,45795.0,34538.0,2994.0,116.0,19.0,0.0,2009
"Hyde County, North Carolina",5256.0,2970.0,2017.0,9.0,15.0,3283.0,1973.0,2917.0,40488.0,48750.0,27500.0,,,,26840.0,,27500.0,4738.0,275.0,1.0,0.0,0.0,2009
"Iredell County, North Carolina",150346.0,123526.0,18517.0,424.0,2528.0,73498.0,76848.0,119162.0,48234.0,51731.0,31294.0,33539.0,62880.0,37337.0,24601.0,35625.0,33048.0,130221.0,6591.0,173.0,0.0,125.0,2009
"Jackson County, North Carolina",36447.0,30565.0,852.0,3289.0,337.0,18027.0,18420.0,30253.0,37672.0,41270.0,21923.0,34825.0,28542.0,,16719.0,11791.0,18942.0,31961.0,1323.0,116.0,0.0,0.0,2009
"Johnston County, North Carolina",156888.0,122906.0,24496.0,449.0,831.0,78102.0,78786.0,112543.0,49897.0,53585.0,32741.0,20000.0,59276.0,,23305.0,49625.0,31167.0,128715.0,14091.0,279.0,5.0,20.0,2009
"Jones County, North Carolina",10028.0,6280.0,3359.0,16.0,0.0,4815.0,5213.0,6157.0,33563.0,40219.0,25380.0,33750.0,,,24257.0,55357.0,30060.0,9120.0,378.0,0.0,0.0,0.0,2009
"Lee County, North Carolina",57919.0,38453.0,11225.0,211.0,505.0,28387.0,29532.0,36229.0,43330.0,49320.0,26087.0,52917.0,68500.0,,37897.0,42958.0,38177.0,44841.0,7822.0,139.0,0.0,14.0,2009
"Lenoir County, North Carolina",56831.0,30854.0,22746.0,129.0,273.0,26900.0,29931.0,30380.0,32188.0,39928.0,24420.0,48250.0,83031.0,,24640.0,26607.0,24966.0,49811.0,2520.0,151.0,0.0,0.0,2009
"Lincoln County, North Carolina",72728.0,63960.0,4405.0,213.0,313.0,36095.0,36633.0,61155.0,47859.0,49329.0,27049.0,29432.0,24115.0,,30625.0,51630.0,36503.0,61953.0,5302.0,120.0,0.0,28.0,2009
"McDowell County, North Carolina",43587.0,40320.0,1623.0,224.0,563.0,21715.0,21872.0,38904.0,37374.0,37866.0,24444.0,24602.0,57120.0,,31620.0,16303.0,23611.0,39233.0,1553.0,29.0,0.0,0.0,2009
"Macon County, North Carolina",32607.0,30817.0,459.0,66.0,173.0,15675.0,16932.0,30541.0,38351.0,38946.0,25058.0,9732.0,38698.0,,32147.0,35034.0,43125.0,29617.0,1072.0,48.0,0.0,15.0,2009
"Madison County, North Carolina",20227.0,19557.0,276.0,67.0,64.0,10021.0,10206.0,19307.0,37500.0,37541.0,70417.0,,,,,24167.0,18981.0,18853.0,230.0,17.0,0.0,0.0,2009
