SID,ESCAPE DATE,ESCAPE TYPE,ESCAPE SEVERITY
SC00737080,NO ESCAPES DURING CURRENT INCARCERATION
SC01241067,NO ESCAPES DURING CURRENT INCARCERATION
SC02427358,NO ESCAPES DURING CURRENT INCARCERATION
SC02414210,NO ESCAPES DURING CURRENT INCARCERATION
SC00773935,NO ESCAPES DURING CURRENT INCARCERATION
SC01899090,11/15/2021,ATTEMPTED ESCAPE,CLASS I
SC01905147,NO ESCAPES DURING CURRENT INCARCERATION
SC01545726,NO ESCAPES DURING CURRENT INCARCERATION
SC02248296,NO ESCAPES DURING CURRENT INCARCERATION
SC02433459,NO ESCAPES DURING CURRENT INCARCERATION
SC01984437,NO ESCAPES DURING CURRENT INCARCERATION
SC01294750,NO ESCAPES DURING CURRENT INCARCERATION
SC01308514,NO ESCAPES DURING CURRENT INCARCERATION
SC01382913,NO ESCAPES DURING CURRENT INCARCERATION
SC00565672,NO ESCAPES DURING CURRENT INCARCERATION
SC01230396,NO ESCAPES DURING CURRENT INCARCERATION
SC02169747,NO ESCAPES DURING CURRENT INCARCERATION
SC01987214,NO ESCAPES DURING CURRENT INCARCERATION
SC01193682,NO ESCAPES DURING CURRENT INCARCERATION
SC01859385,NO ESCAPES DURING CURRENT INCARCERATION
SC00660211,NO ESCAPES DURING CURRENT INCARCERATION
SC02116624,NO ESCAPES DURING CURRENT INCARCERATION
SC00959120,NO ESCAPES DURING CURRENT INCARCERATION
SC01414739,NO ESCAPES DURING CURRENT INCARCERATION
SC01249743,NO ESCAPES DURING CURRENT INCARCERATION
SC01425874,NO ESCAPES DURING CURRENT INCARCERATION
SC01701267,NO ESCAPES DURING CURRENT INCARCERATION
SC02428642,NO ESCAPES DURING CURRENT INCARCERATION
SC00784031,NO ESCAPES DURING CURRENT INCARCERATION
SC00243522,NO ESCAPES DURING CURRENT INCARCERATION
SC00204326,NO ESCAPES DURING CURRENT INCARCERATION
SC02175751,NO ESCAPES DURING CURRENT INCARCERATION
SC01855912,NO ESCAPES DURING CURRENT INCARCERATION
SC01006238,NO ESCAPES DURING CURRENT INCARCERATION
SC00950956,NO ESCAPES DURING CURRENT INCARCERATION
SC00749210,NO ESCAPES DURING CURRENT INCARCERATION
SC00670219,09/02/1994,ESCAPE,CLASS I
SC02214327,NO ESCAPES DURING CURRENT INCARCERATION
SC01328601,NO ESCAPES DURING CURRENT INCARCERATION
SC00803891,NO ESCAPES DURING CURRENT INCARCERATION
SC01505474,NO ESCAPES DURING CURRENT INCARCERATION
SC01925153,NO ESCAPES DURING CURRENT INCARCERATION
SC01763632,NO ESCAPES DURING CURRENT INCARCERATION
SC01193123,NO ESCAPES DURING CURRENT INCARCERATION
SC00597616,NO ESCAPES DURING CURRENT INCARCERATION
SC01895684,NO ESCAPES DURING CURRENT INCARCERATION
SC02432483,NO ESCAPES DURING CURRENT INCARCERATION
SC01290369,NO ESCAPES DURING CURRENT INCARCERATION
SC02149496,NO ESCAPES DURING CURRENT INCARCERATION
SC02053267,NO ESCAPES DURING CURRENT INCARCERATION
SC01446808,NO ESCAPES DURING CURRENT INCARCERATION
SC00720294,NO ESCAPES DURING CURRENT INCARCERATION
SC02088400,NO ESCAPES DURING CURRENT INCARCERATION
SC01965561,08/24/2020,ESCAPE,CLASS I
SC01418798,NO ESCAPES DURING CURRENT INCARCERATION
SC01655611,NO ESCAPES DURING CURRENT INCARCERATION
SC02282352,NO ESCAPES DURING CURRENT INCARCERATION
SC02051107,NO ESCAPES DURING CURRENT INCARCERATION
SC01052429,NO ESCAPES DURING CURRENT INCARCERATION
SC01347261,NO ESCAPES DURING CURRENT INCARCERATION
SC02280742,NO ESCAPES DURING CURRENT INCARCERATION
SC01382533,NO ESCAPES DURING CURRENT INCARCERATION
SC00809329,NO ESCAPES DURING CURRENT INCARCERATION
SC01238175,NO ESCAPES DURING CURRENT INCARCERATION
SC00386907,NO ESCAPES DURING CURRENT INCARCERATION
SC02046447,12/25/2015,ATTEMPTED ESCAPE,CLASS I
SC01988675,NO ESCAPES DURING CURRENT INCARCERATION
SC02048787,NO ESCAPES DURING CURRENT INCARCERATION
SC02374584,NO ESCAPES DURING CURRENT INCARCERATION
SC02261247,NO ESCAPES DURING CURRENT INCARCERATION
SC01239265,NO ESCAPES DURING CURRENT INCARCERATION
SC02148907,NO ESCAPES DURING CURRENT INCARCERATION
SC02418640,NO ESCAPES DURING CURRENT INCARCERATION
SC02361342,NO ESCAPES DURING CURRENT INCARCERATION
SC02276399,NO ESCAPES DURING CURRENT INCARCERATION
SC01967987,NO ESCAPES DURING CURRENT INCARCERATION
SC01822306,NO ESCAPES DURING CURRENT INCARCERATION
SC00407277,NO ESCAPES DURING CURRENT INCARCERATION
SC00798020,NO ESCAPES DURING CURRENT INCARCERATION
SC01844712,NO ESCAPES DURING CURRENT INCARCERATION
SC01367927,NO ESCAPES DURING CURRENT INCARCERATION
SC00784314,09/05/2017,ATTEMPTED ESCAPE,CLASS I
SC02344620,NO ESCAPES DURING CURRENT INCARCERATION
SC02032123,NO ESCAPES DURING CURRENT INCARCERATION
SC02249556,NO ESCAPES DURING CURRENT INCARCERATION
SC01198617,NO ESCAPES DURING CURRENT INCARCERATION
